                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3568,                 4.2013,                 3.9961,                0.00145,                0.40945,                0.00167,                0.00045,                  2.919,                 4.5197,                 3.7815,             0.00065823,             0.00065823,             0.00065823
                      2,                 2.8108,                 3.1419,                 3.3092,                0.00249,                0.44094,                0.00195,                0.00065,                 3.3212,                 47.734,                 5.2131,              0.0012987,              0.0012987,              0.0012987
                      3,                 2.4731,                 2.5184,                 2.9863,                 0.2118,                0.08268,                0.05777,                0.02077,                 2.9031,                 5.7232,                 4.0503,              0.0019127,              0.0019127,              0.0019127
                      4,                 2.2754,                 2.2268,                 2.8182,                0.26322,                0.16142,                0.11883,                0.05937,                 2.1155,                 3.4624,                 2.9146,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.1025,                 1.8314,                 2.6361,                0.46079,                0.58268,                0.53754,                0.27338,                 1.8732,                 2.0349,                 2.6361,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.9008,                 1.6491,                 2.4856,                0.70628,                0.69685,                0.74726,                0.44008,                 1.5729,                 1.5104,                 2.3896,               0.001802,               0.001802,               0.001802
                      7,                 1.6763,                 1.4333,                 2.2694,                0.72893,                0.61024,                0.69646,                0.38961,                 1.6616,                 1.8309,                  2.521,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.6151,                 1.3649,                 2.2084,                0.80579,                0.85039,                0.88505,                0.55814,                 1.3843,                 1.1301,                 2.2564,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5544,                 1.2729,                 2.1327,                0.90309,                0.80712,                0.90553,                0.57053,                 1.3617,                 1.0827,                 2.2161,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4638,                 1.2077,                 2.0484,                0.87447,                0.79538,                0.90055,                0.58941,                 1.2852,                  1.061,                 2.1077,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4387,                 1.1622,                 1.9982,                0.92666,                0.74615,                0.85924,                0.53527,                  1.425,                 1.0958,                 2.2377,               0.001604,               0.001604,               0.001604
                     12,                 1.3834,                 1.0768,                 1.9621,                0.88499,                0.87853,                0.93643,                0.60585,                 1.2583,                0.97226,                 2.0639,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3654,                 1.0603,                 1.9416,                0.86634,                0.86764,                0.93866,                0.63832,                 1.1487,                0.84174,                 1.9698,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.3587,                 1.0351,                 1.8986,                0.81479,                0.79921,                0.87936,                 0.5992,                 1.1711,                0.97236,                 1.9228,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.308,                0.97929,                 1.8671,                0.92164,                0.69461,                0.82764,                0.58107,                 1.1702,                 1.0871,                 1.9598,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2607,                0.94388,                 1.8291,                0.93558,                0.89764,                0.95954,                0.65279,                 1.1351,                 0.7623,                 1.9147,               0.001406,               0.001406,               0.001406
                     17,                 1.2552,                0.92654,                 1.8135,                0.92926,                0.92126,                0.96672,                 0.6797,                 1.1165,                0.72548,                 1.8609,              0.0013664,              0.0013664,              0.0013664
